PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	Dosing Guideline	External Vocabulary
PA1000	phenformin	Beta-Pebg,Beta-Phenethybiguanide,Beta-Phenethylbiguanide,Fenformin,Fenformina [INN-Spanish],N-Phenethylbiguanide Hydrochloride,PEDG,Phenethylbiguanide Hydrochloride,Phenethyldiguanide,Phenformin HCl,Phenformin Hydrochloride,Phenformine,Phenformine HCl,Phenformine [INN-French],Phenforminum [INN-Latin],Phenoformine Hydrochloride,Phenylethylbiguanide	Azucaps,Cronoformin,D Bretard,DB Comb,DB-Retard,DBI,DBI Monohydrochloride,Debeone,Debinyl,Diabis,Dibein,Dibiraf,Dibotin,Dipar,Feguanide,Fenfoduron,Fenormin,Glukopostin,Glyphen,Insoral,Lentobetic,Meltrol,Meltrol-50,Normoglucina,Phenformix,Retardo		Drug/Small Molecule	TTD:DAP000206,bindingDb:50240908,chemSpider:7953,drugBank:DB00914,keggCompound:C07673,pubChemCompound:8249,pubChemSubstance:151385,pubChemSubstance:46505230,url:http://en.wikipedia.org/wiki/Phenformin	c1ccc(cc1)CCNC(=N)NC(=N)N	No	ATC:A10BA(Biguanides),NDFRT:N0000171785(PHENFORMIN),RxNorm:8129(Phenformin),UMLS:C0031404(Phenformin)
PA10004	adalimumab	Ig gamma-1 chain C region	Humira,Humira Pen		Drug/Small Molecule	DailyMed:608d4f0d-b19f-46d3-749a-7159aa5f933d,TTD:DAP000392,clinicalTrials:NCT01004432,dpd:2258595,drugBank:DB00051,genBank:J00228,ndc:0074-3799-02,uniProtKb:P01857,url:http://en.wikipedia.org/wiki/Adalimumab		No	ATC:L04AA(Selective immunosuppressants),NDFRT:N0000148789(ADALIMUMAB),RxNorm:327361(adalimumab),UMLS:C1122087(adalimumab)
PA10005	adefovir dipivoxil	ADV,Adefovir,Adefovir pivoxil,Adefovirdipivoxl,GS-840,PMEA,adefovir dipivoxil,bis-POM PMEA	Hepsera,Preveon		Drug/Small Molecule	DailyMed:a60adac4-57c2-4089-aefc-1a77a48676fc,TTD:DNC001135,bindingDb:50038612,chemSpider:54855,drugBank:DB00718,keggDrug:D01655,ndc:61958-0501-1,pubChemCompound:60871,pubChemSubstance:46507520,pubChemSubstance:7848718,url:http://en.wikipedia.org/wiki/Adefovir		No	ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors),MeSH:C106812(adefovir dipivoxil),NDFRT:N0000148776(ADEFOVIR DIPIVOXIL),RxNorm:141400(adefovir dipivoxil),UMLS:C0540694(adefovir dipivoxil)
PA10015	aminolevulinic acid	5-aminolevulinic acid,ALA,Aminolevulinate,delta-Aminolevulinic acid	Aladerm,Kerastick,Levulan,Levulan Kerastick		Drug/Small Molecule	DailyMed:e45cc371-9ebc-4904-12bc-65cb4e2817ad,DailyMed:l51b031a0-bc40-4159-a434-d48c3eadd2ca,TTD:DAP000314,chebi:17549,chemSpider:134,drugBank:DB00855,keggCompound:C00430,ndc:67308-101-01,pubChemCompound:137,pubChemSubstance:3719,pubChemSubstance:46506856,url:http://en.wikipedia.org/wiki/Aminolevulinic_acid	CC(=O)CC(C(=O)O)N	No	ATC:L01XD(Sensitizers used in photodynamic/radiation therapy),NDFRT:N0000176068(AMINOLEVULINIC ACID),RxNorm:683(Aminolevulinic Acid),UMLS:C0002563(Aminolevulinic Acid)
PA10026	aripiprazole	OPC 31,OPC-14597,aripiprazole	Abilify,Abilitat		Drug/Small Molecule	DailyMed:c040bd1d-45b7-49f2-93ea-aed7220b30ac,TTD:DAP000076,chebi:31236,chemSpider:54790,clinicalTrials:NCT00545467,clinicalTrials:NCT00712270,clinicalTrials:NCT01109147,drugBank:DB01238,iupharLigand:34,keggCompound:C12564,keggDrug:D01164,ndc:59148-013-15,pubChemCompound:60795,pubChemSubstance:46505745,pubChemSubstance:582954,url:http://en.wikipedia.org/wiki/Aripiprazole	c1cc(c(c(c1)Cl)Cl)N2CCN(CC2)CCCCOc3ccc4c(c3)NC(=O)CC4	Yes	ATC:N05AX(Other antipsychotics),MeSH:C094645(aripiprazole),NDFRT:N0000148786(ARIPIPRAZOLE),RxNorm:89013(aripiprazole),UMLS:C0299792(aripiprazole)
PA10032	bivalirudin	Angiomax,bivalirudin	Angiomax,Angiox		Drug/Small Molecule	DailyMed:911cd48f-01ea-4dec-b30c-95e7e0ea9d2a,TTD:DAP000542,dpd:2246533,drugBank:DB00006,ndc:65293-001-01,pubChemCompound:16129704,pubChemSubstance:214065,url:http://en.wikipedia.org/wiki/Bivalirudin	[H]/N=C(\N)/NCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](CC6=CC=CC=C6)N	No	ATC:B01AE(Direct thrombin inhibitors),NDFRT:N0000148708(BIVALIRUDIN),RxNorm:60819(bivalirudin),UMLS:C0168273(bivalirudin)
PA10034	bosentan	Bosentan hydrate,bosentan	Tracleer		Drug/Small Molecule	DailyMed:749e42fb-2fe0-45dd-9268-b43bb3f4081c,TTD:DNC000341,chebi:51450,chemSpider:94651,clinicalTrials:NCT00593905,dpd:2244982,drugBank:DB00559,keggDrug:D01227,ndc:66215-101-06,pubChemCompound:104865,pubChemSubstance:46507154,pubChemSubstance:682323,url:http://en.wikipedia.org/wiki/Bosentan		No	ATC:C02KX(Other antihypertensives),MeSH:C086232(bosentan),NDFRT:N0000148726(BOSENTAN),RxNorm:75207(bosentan),UMLS:C0252643(bosentan)
PA10035	bromazepam	7-Bromo-5-(2-pyridyl)-3H-1,4-benzodiaxepin-2(1H)-one,7-Bromo-5-(2-pyridyl)-3H-1,4-benzodiazepin-2(1H)-one,Bromazepamum [inn-latin]	Apo-Bromazepam,Calmepam,Compedium,Compendium,Creosedin,Durazanil,Gen-Bromazepam,Lectopam,Lekotam,Lexaurin,Lexilium,Lexomil,Lexotan,Lexotanil,Normoc,Novo-bromazepam,Nu-Bromazepam,Somalium,Ultramidol		Drug/Small Molecule	TTD:DAP001035,chemSpider:2347,dpd:518123,drugBank:DB01558,keggDrug:D01245,pubChemCompound:2441,pubChemSubstance:10476910,pubChemSubstance:46505694,url:http://en.wikipedia.org/wiki/Bromazepam	c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br	No	NDFRT:N0000166922(Bromazepam [Chemical/Ingredient]),RxNorm:1749(Bromazepam),UMLS:C0006213(Bromazepam)
PA10040	cetuximab	Anti EGFR,IMC-C225,cetuximab	Erbitux		Drug/Small Molecule	DailyMed:8bc6397e-4bd8-4d37-a007-a327e4da34d9,TTD:DNC000788,clinicalTrials:NCT00118118,clinicalTrials:NCT00207116,clinicalTrials:NCT00207155,clinicalTrials:NCT00292955,clinicalTrials:NCT00326495,clinicalTrials:NCT00368121,clinicalTrials:NCT00559741,clinicalTrials:NCT00689624,clinicalTrials:NCT00820417,clinicalTrials:NCT00881114,clinicalTrials:NCT01334177,clinicalTrials:NCT01790516,drugBank:DB00002,genBank:J00228,ndc:66733-948-23,url:http://en.wikipedia.org/wiki/Cetuximab		No	ATC:L01XC(Monoclonal antibodies),NDFRT:N0000148833(CETUXIMAB),RxNorm:318341(cetuximab),UMLS:C0995188(cetuximab)
PA10049	cyproterone	Cyproterone acetate	Androcur,Apo-cyproterone,CyPat,Gen-Cyproterone,Novo-cyproterone	"Diane-35 (Cyproterone Acetate + Ethinyl Estradiol)",	Drug/Small Molecule	TTD:DAP000906,chebi:50742,chemSpider:4447594,dpd:704423,drugBank:DB04839,pubChemCompound:5284537,pubChemSubstance:11039334,pubChemSubstance:46506931,url:http://en.wikipedia.org/wiki/Cyproterone		No	ATC:G03HA(Antiandrogens, plain),NDFRT:N0000167456(Cyproterone [Chemical/Ingredient]),RxNorm:3014(Cyproterone),UMLS:C0010621(Cyproterone)
PA10054	dexmethylphenidate	D-methylphenidate,Ritadex	Focalin		Drug/Small Molecule	drugBank:DB06701,pubChemCompound:4158,pubChemSubstance:99443255		No	ATC:N06BA(Centrally acting sympathomimetics),NDFRT:N0000148722(DEXMETHYLPHENIDATE),RxNorm:352372(dexmethylphenidate),UMLS:C1169997(dexmethylphenidate)
