From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
Complex: ABCC8_KCNJ11(ABCC8, KCNJ11)	Complex: ABCC8_KCNJ11(ABCC8, KCNJ11)	Biochemical Reaction	ATP,nateglinide,repaglinide,sulfonamides, urea derivatives	control	type B pancreatic cell	11742410,11728565,10773014	KCNJ11,ABCC8	sulfonamides, urea derivatives,nateglinide,repaglinide		
AKT1	AKT1	Biochemical Reaction	PIK3C2A,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5	control	type B pancreatic cell	11742410	PIK3CG,AKT1,PIK3CB,PIK3C2A,PIK3CD,PIK3CA,PIK3R5,PIK3R3,PIK3R1,PIK3R2			
Glucose	Glucose-6-P	Biochemical Reaction	GCK	catalysis	type B pancreatic cell	11742410	GCK			
HNF1A	HNF1A	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,HNF1A			
HNF1B	HNF1B	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,HNF1B			
HNF4A	HNF4A	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,HNF4A			
ISL1	ISL1	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,ISL1			
MAFA	MAFA	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,MAFA			
NEUROD1	NEUROD1	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,NEUROD1			
PDX1	PDX1	Biochemical Reaction	AKT1	control	type B pancreatic cell	11742410	AKT1,PDX1			
PIK3C2A,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5	PIK3C2A,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5	Biochemical Reaction	Complex: INSR_IRS1_IRS2(INSR, IRS1, IRS2)	control	type B pancreatic cell	11742410	PIK3CG,IRS2,PIK3CB,PIK3C2A,PIK3CD,PIK3CA,PIK3R5,PIK3R3,IRS1,INSR,PIK3R1,PIK3R2			
CACNA1A,CACNA1C,CACNA1D	CACNA1A,CACNA1C,CACNA1D	Biochemical Reaction	Complex: ABCC8_KCNJ11(ABCC8, KCNJ11)	control	type B pancreatic cell		CACNA1C,KCNJ11,ABCC8,CACNA1D,CACNA1A			
INS	Complex: INSR_IRS1_IRS2(INSR, IRS1, IRS2)	Complex Assembly			type B pancreatic cell	11742410	IRS2,INS,IRS1,INSR			
Glucose-6-P	ATP,pyruvate	Biochemical Reaction			type B pancreatic cell	11742410				
pyruvate	ATP,CO2	Biochemical Reaction			type B pancreatic cell	11742410				
Ca++	Ca++	Transport	CACNA1A,CACNA1C,CACNA1D	catalysis	type B pancreatic cell	15585596	CACNA1C,CACNA1D,CACNA1A			
Glucose	Glucose	Transport	SLC2A2	catalysis	type B pancreatic cell	11742410	SLC2A2			
INS	INS	Transport	Ca++	control	type B pancreatic cell		INS			
K+	K+	Transport	Complex: ABCC8_KCNJ11(ABCC8, KCNJ11)	catalysis	type B pancreatic cell		KCNJ11,ABCC8			
