From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
AA	PGG2	Biochemical Reaction	PTGS1	catalysis	platelet	18038215,8145785	PTGS1			
AA	PGH2	Biochemical Reaction	PTGS1	catalysis	platelet	18038215,8145785	PTGS1			
ADCY3	ADCY3	Biochemical Reaction	GNA11,GNA12,GNA13,GNA15,GNAI1,GNAI2,GNAI3,GNAQ,GNB3,GNAS	control	platelet	15187029,11997386	GNA13,ADCY3,GNA15,GNAI3,GNAQ,GNAI2,GNAI1,GNA11,GNA12,GNAS,GNB3			
ATP	cyclic AMP	Biochemical Reaction	ADCY3	catalysis	platelet	15187029	ADCY3			
ITGA2B,ITGB3	ITGA2B,ITGB3	Biochemical Reaction	PLCB1,PLCG2	control	platelet	15914557,12297512,11964287	PLCG2,ITGB3,PLCB1,ITGA2B			
GNA11,GNA12,GNA13,GNA15,GNAI1,GNAI2,GNAI3,GNAQ,GNB3	GNA11,GNA12,GNA13,GNA15,GNAI1,GNAI2,GNAI3,GNAQ,GNB3	Biochemical Reaction	P2RY1,P2RY12,TBXA2R,F2R,F2RL3	control	platelet	15914557,15187029,9653141,8290554	P2RY12,GNA13,F2RL3,GNA15,GNAI3,GNAQ,GNAI2,GNAI1,GNA11,P2RY1,GNA12,TBXA2R,GNB3,F2R			
CD36,GP1BB,GP5,GP6,GP9,ITGA2	CD36,GP1BB,GP5,GP6,GP9,ITGA2	Biochemical Reaction	COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,Complex: Collagen-VWF(COL1A1, COL1A2, COL3A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, VWF)	control	platelet	16149014,11487007,6087354	COL4A4,COL4A3,COL4A2,COL4A1,COL3A1,ITGA2,COL4A6,COL4A5,GP9,VWF,GP5,CD36,GP6,GP1BB,COL1A2,COL1A1			
GNAS	GNAS	Biochemical Reaction	PTGDR,PTGER2,PTGIR	control	platelet	11997386	PTGIR,PTGER2,PTGDR,GNAS			
P2RX1	P2RX1	Biochemical Reaction	ATP	control	platelet	15914557	P2RX1			
PGG2	TBXA2	Biochemical Reaction	TBXAS1	catalysis	platelet	18038215,8145785	TBXAS1			
PGH2	TBXA2	Biochemical Reaction	TBXAS1	catalysis	platelet	18038215,8145785	TBXAS1			
phosphatidylcholine	AA	Biochemical Reaction	PLA2G2A,PLA2G4A,PLA2G4B	catalysis	platelet		PLA2G4A,PLA2G2A,PLA2G4B			
phosphatidylethanolamine	AA	Biochemical Reaction	PLA2G2A,PLA2G4A,PLA2G4B	catalysis	platelet		PLA2G4A,PLA2G2A,PLA2G4B			
PLCB1,PLCG2	PLCB1,PLCG2	Biochemical Reaction	GNA11,GNA12,GNA13,GNA15,GNAI1,GNAI2,GNAI3,GNAQ,GNB3,CD36,GP1BB,GP5,GP6,GP9,ITGA2	control	platelet	15914557,11487007	GNA13,GNA15,GNAI3,GNAI2,GNAI1,GNA11,GNA12,ITGA2,GP9,GP5,GP6,CD36,GNAQ,GP1BB,PLCG2,GNB3,PLCB1			
PLA2G2A,PLA2G4A,PLA2G4B	PLA2G2A,PLA2G4A,PLA2G4B	Biochemical Reaction	,PLCB1,PLCG2	control	platelet	16149014,8253817	PLA2G4A,PLCG2,PLA2G2A,PLCB1,PLA2G4B			
PTGS1	PTGS1	Biochemical Reaction	aspirin	control	platelet	18038215,8145785	PTGS1	aspirin		
FGA,FGB,FGG	ITGA2B,ITGB3	Complex Assembly			platelet	6087354	FGG,FGA,FGB,ITGB3,ITGA2B			
FGA,FGB,FGG	ITGA2B,ITGB3	Complex Assembly	abciximab,eptifibatide,tirofiban	control	platelet	6087354	FGG,FGA,FGB,ITGB3,ITGA2B	tirofiban,abciximab,eptifibatide		
P2RY1	P2RY1	conversion	ADP	control	platelet		P2RY1			
P2RY12	P2RY12	conversion	ADP,clopidogrel	control	platelet		P2RY12	clopidogrel		
PTGDR,PTGER2,PTGIR	PTGDR,PTGER2,PTGIR	conversion	PGD2,PGE2,PGI2	control	platelet		PTGIR,PTGER2,PTGDR			
TBXA2R	TBXA2R	conversion	TBXA2	control	platelet		TBXA2R			
F2R,F2RL3	F2R,F2RL3	conversion	F2	control	platelet		F2RL3,F2,F2R			
calcium	calcium	Transport	P2RX1	catalysis	platelet	15914557	P2RX1			
