From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
adefovir dipivoxil	adefovir dipivoxil	Biochemical Reaction	AK2,AK4	catalysis	cell	9517941,8619586	AK2,AK4	adefovir dipivoxil		
adefovir dipivoxil	adefovir dipivoxil	Biochemical Reaction	NME1,NME2	catalysis	cell	9517941,8619586	NME2,NME1	adefovir dipivoxil		
HepB-RT	HepB-RT	Biochemical Reaction	adefovir dipivoxil	control	cell			adefovir dipivoxil		
HIV-RT	HIV-RT	Biochemical Reaction	tenofovir	control	cell			tenofovir		
tenofovir	tenofovir	Biochemical Reaction	AK2,AK4	catalysis	cell	9517941,8619586	AK2,AK4	tenofovir		
tenofovir	tenofovir	Biochemical Reaction	NME1,NME2	catalysis	cell	9517941,8619586	NME2,NME1	tenofovir		
adefovir dipivoxil	adefovir dipivoxil	Transport	ABCC4	catalysis	cell	17110501	ABCC4	adefovir dipivoxil		
adefovir dipivoxil	adefovir dipivoxil	Transport	SLC22A6,SLC26A8	catalysis	cell	17372702,12462284,11563082	SLC26A8,SLC22A6	adefovir dipivoxil		
tenofovir	tenofovir	Transport	SLC22A6,SLC26A8	catalysis	cell	17372702,12462284,11563082	SLC26A8,SLC22A6	tenofovir		
tenofovir	tenofovir	Transport	ABCC10,ABCC4	catalysis	cell	17110501,17005808	ABCC4,ABCC10	tenofovir		
