From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
AKT1,AKT2,AKT3	AKT1,AKT2,AKT3	Biochemical Reaction	PIP3	control	cell	18473993,15168354,10787417	AKT1,AKT3,AKT2			
Ca++	Ca++	Biochemical Reaction	IP3	control	cell					
CAMK1,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G	CAMK1,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G	Biochemical Reaction	Ca++	control	cell	16083343,14671000	CAMK1G,CAMK2G,CAMK2D,CAMK1,CAMK2B,CAMK2A,CAMK1D			
EGFR,ERBB2,ERBB3,ERBB4	EGFR,ERBB2,ERBB3,ERBB4	Biochemical Reaction	erlotinib,gefitinib,lapatinib	control	cell	18337605	EGFR,ERBB4,ERBB3,ERBB2	lapatinib,gefitinib,erlotinib		
JAK1	JAK1	Biochemical Reaction	EGFR,ERBB2,ERBB3,ERBB4	control	cell	15284024	EGFR,ERBB4,ERBB3,ERBB2,JAK1			
MAP2K1	MAP2K1	Biochemical Reaction	RAF1	control	cell	18337605,12843393	MAP2K1,RAF1			
MAP2K7	MAP2K7	Biochemical Reaction	MAP3K1	control	cell	18713996	MAP3K1,MAP2K7			
MAP3K1	MAP3K1	Biochemical Reaction	GRB2,HRAS,KRAS,MRAS,NRAS,RRAS,SHC1,SHC2,SHC3,SOS1	control	cell	18713996	NRAS,HRAS,KRAS,GRB2,SOS1,MRAS,MAP3K1,RRAS,SHC1,SHC3,SHC2			
MAPK1,MAPK3	MAPK1,MAPK3	Biochemical Reaction	MAP2K1	control	cell	18337605,12843393	MAPK1,MAP2K1,MAPK3			
MAPK8	MAPK8	Biochemical Reaction	MAP2K7	control	cell	18713996	MAPK8,MAP2K7			
PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3	PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3	Biochemical Reaction	EGFR,ERBB2,ERBB3,ERBB4	control	cell	16377102,8550620	EGFR,PIK3CG,ERBB4,ERBB3,PIK3CB,ERBB2,PIK3CD,PIK3CA,PIK3R3,PIK3R1,PIK3R2			
PIP2	PIP2	Biochemical Reaction	PLCG1,PLCG2	control	cell		PLCG1,PLCG2			
PIP3	PIP3	Biochemical Reaction	PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3	control	cell		PIK3CG,PIK3CB,PIK3CD,PIK3CA,PIK3R3,PIK3R1,PIK3R2			
PLCG1,PLCG2	PLCG1,PLCG2	Biochemical Reaction	EGFR,ERBB2,ERBB3,ERBB4	control	cell	14500405	EGFR,ERBB4,PLCG1,ERBB3,ERBB2,PLCG2			
PRKCA,PRKCB,PRKCG	PRKCA,PRKCB,PRKCG	Biochemical Reaction	DAG	control	cell	10327068	PRKCA,PRKCG,PRKCB			
RAF1	RAF1	Biochemical Reaction	GRB2,HRAS,KRAS,MRAS,NRAS,RRAS,SHC1,SHC2,SHC3,SOS1	control	cell	18337605,12843393,9405464	NRAS,HRAS,KRAS,GRB2,SOS1,MRAS,RRAS,RAF1,SHC1,SHC3,SHC2			
GRB2,HRAS,KRAS,MRAS,NRAS,RRAS,SHC1,SHC2,SHC3,SOS1	GRB2,HRAS,KRAS,MRAS,NRAS,RRAS,SHC1,SHC2,SHC3,SOS1	Biochemical Reaction	EGFR	control	cell	16377102,12648466	EGFR,NRAS,HRAS,KRAS,GRB2,SOS1,MRAS,RRAS,SHC1,SHC3,SHC2			
STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B	STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B	Biochemical Reaction	JAK1	control	cell	15284024	STAT4,STAT5A,STAT5B,JAK1,STAT1,STAT3,STAT2			
ELK1,FOS,JUN,MYC,NFKB1,NFKB2,RELA,SP1,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B	ELK1,FOS,JUN,MYC,NFKB1,NFKB2,RELA,SP1,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B	Biochemical Reaction	AKT1,AKT2,AKT3,CAMK1,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,MAPK1,MAPK3,MAPK8,PRKCA,PRKCB,PRKCG,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B	control	cell	18519641,18337605	STAT5A,CAMK2G,STAT5B,ELK1,NFKB1,NFKB2,AKT1,FOS,STAT4,CAMK2D,CAMK2B,MYC,CAMK2A,AKT3,AKT2,PRKCA,CAMK1G,RELA,PRKCG,STAT1,STAT3,PRKCB,STAT2,MAPK1,SP1,JUN,MAPK3,CAMK1,MAPK8,CAMK1D			
AREG,BTC,EGF,EREG,HBEGF,NRG1,NRG2,NRG3,TGFA	EGFR,ERBB2,ERBB3,ERBB4	Complex Assembly			cell	18337605,18271917,17999740,15238978	EGFR,NRG3,ERBB4,ERBB3,ERBB2,BTC,EREG,HBEGF,TGFA,AREG,EGF,NRG1,NRG2			
AREG,BTC,EGF,EREG,HBEGF,NRG1,NRG2,NRG3,TGFA	EGFR	Complex Assembly	cetuximab,panitumumab	control	cell	18337605	EGFR,NRG3,EREG,BTC,TGFA,HBEGF,AREG,NRG1,EGF,NRG2	cetuximab,panitumumab		
PIP2	DAG,IP3	conversion			cell					
