From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
ACE	ACE	Biochemical Reaction	Ace Inhibitors, Plain	control	blood vessel endothelial cell	19082699,19074621,18035185	ACE	Ace Inhibitors, Plain		
ACE	ACE	Biochemical Reaction	Ace Inhibitors, Plain	control	blood vessel endothelial cell	19082699,19074621,18035185	ACE	Ace Inhibitors, Plain		
ACE	ACE	Biochemical Reaction	Ace Inhibitors, Plain	control	blood vessel endothelial cell	19082699,19074621,18035185	ACE	Ace Inhibitors, Plain		
AGT	angiotensin I	Biochemical Reaction	REN	catalysis		18035185	REN,AGT			
AGTR1	AGTR1	Biochemical Reaction	angiotensin II,Angiotensin II Antagonists	control	blood vessel endothelial cell	19074621,17717300,18035185	AGTR1	Angiotensin II Antagonists		
AGTR2	AGTR2	Biochemical Reaction	angiotensin II	control	blood vessel endothelial cell	17717300,18035185,15134803	AGTR2			
angiotensin 1-7	angiotensin 1-5	Biochemical Reaction	ACE	catalysis	blood vessel endothelial cell	18035185	ACE			
angiotensin 1-9	angiotensin 1-7	Biochemical Reaction	MME	catalysis		21052031	MME			
angiotensin I	angiotensin 1-9	Biochemical Reaction	ACE2	catalysis	blood vessel endothelial cell	18035185	ACE2			
angiotensin I	angiotensin II	Biochemical Reaction	ACE,CMA1,CTSG	catalysis	blood vessel endothelial cell	18035185,9535416	ACE,CMA1,CTSG			
angiotensin II	angiotensin 1-7	Biochemical Reaction	ACE2	catalysis	blood vessel endothelial cell	18035185	ACE2			
ATP6AP2	ATP6AP2	Biochemical Reaction	REN	control	blood vessel endothelial cell	18417113	ATP6AP2,REN			
BDKRB1	BDKRB1	Biochemical Reaction	bradykinin	control	blood vessel endothelial cell	18182246,9207629	BDKRB1			
BDKRB2	BDKRB2	Biochemical Reaction	bradykinin	control	blood vessel endothelial cell	21052031,18182246,9535416,9207629	BDKRB2			
calcium	calcium	Biochemical Reaction	AGTR1	control	blood vessel endothelial cell	15134803	AGTR1			
CYP11B2	aldosterone	Biochemical Reaction			blood vessel endothelial cell	15134803	CYP11B2			
CYP11B2	CYP11B2	Biochemical Reaction	AGTR1,calcium	control	blood vessel endothelial cell	15134803	AGTR1,CYP11B2			
KNG1	bradykinin	Biochemical Reaction	ACE	catalysis	blood vessel endothelial cell	9207629	KNG1,ACE			
MAPK1	MAPK1	Biochemical Reaction	ATP6AP2	control	blood vessel endothelial cell	18417113	MAPK1,ATP6AP2			
MAPK3	MAPK3	Biochemical Reaction	ATP6AP2	control	blood vessel endothelial cell	18417113	ATP6AP2,MAPK3			
MAS1	MAS1	Biochemical Reaction	angiotensin 1-7	control	blood vessel endothelial cell	18449520,18035185	MAS1			
NOS3	NOS3	Biochemical Reaction	BDKRB2	control	blood vessel endothelial cell	20712529,19082699,18182246,12785010,9207629	NOS3,BDKRB2			
NR3C2	NR3C2	Biochemical Reaction	aldosterone,eplerenone,spironolactone	control	blood vessel endothelial cell	18729003	NR3C2	spironolactone,eplerenone		
REN	REN	Biochemical Reaction	aliskiren	control		19170589,12927775	REN	aliskiren		
TGFB1	TGFB1	Biochemical Reaction	MAPK1,MAPK3	control	blood vessel endothelial cell	18417113	MAPK1,MAPK3,TGFB1			
