From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
alprazolam	hydroxyalprazolam	Biochemical Reaction	CYP3A4,CYP3A5	catalysis	hepatocyte	17635335	CYP3A4,CYP3A5	alprazolam		
bromazepam	Glucoronidation	Biochemical Reaction			hepatocyte	18855614		bromazepam		
bromazepam	hydroxybromezepam	Biochemical Reaction	CYP1A2,CYP2D6	catalysis	hepatocyte	18855614	CYP2D6,CYP1A2	bromazepam		
clonazepam	acetylation	Biochemical Reaction	NAT2	catalysis	hepatocyte	19356010,7273597	NAT2	clonazepam		
diazepam	nordazepam	Biochemical Reaction	CYP2C19,CYP3A4	catalysis	hepatocyte	18855614,17635335	CYP3A4,CYP2C19	diazepam		
diazepam	temazepam	Biochemical Reaction	CYP3A4	catalysis	hepatocyte	18855614	CYP3A4	diazepam,temazepam		
flunitrazepam	hydroxyflunitrazepam	Biochemical Reaction	CYP2C19,CYP3A4	catalysis	hepatocyte	17635335	CYP3A4,CYP2C19	flunitrazepam		
flunitrazepam	N-desmethylflunitrazepam	Biochemical Reaction	CYP2C19,CYP3A4	catalysis	hepatocyte	17635335	CYP3A4,CYP2C19	flunitrazepam		
flurazepam	hydroxyflurazepam	Biochemical Reaction			hepatocyte			flurazepam		
flurazepam	N des-alkylflurazepam	Biochemical Reaction			hepatocyte			flurazepam		
hydroxyalprazolam	Glucoronidation	Biochemical Reaction			hepatocyte					
hydroxybromezepam	Glucoronidation	Biochemical Reaction			hepatocyte					
hydroxyflunitrazepam	Glucoronidation	Biochemical Reaction			hepatocyte					
hydroxyflurazepam	Glucoronidation	Biochemical Reaction			hepatocyte					
hydroxymidazolam	Glucoronidation	Biochemical Reaction	UGT1A4,UGT2B4,UGT2B7	catalysis	hepatocyte	18855614	UGT1A4,UGT2B4,UGT2B7			
hydroxytriazolam	Glucoronidation	Biochemical Reaction			hepatocyte					
lorazepam	Glucoronidation	Biochemical Reaction	UGT2B15	catalysis	hepatocyte	18855614	UGT2B15	lorazepam		
midazolam	Glucoronidation	Biochemical Reaction	UGT1A4	catalysis	hepatocyte	18855614,18256203	UGT1A4	midazolam		
midazolam	hydroxymidazolam	Biochemical Reaction	CYP3A4,CYP3A5	catalysis	hepatocyte	18855614,17635335	CYP3A4,CYP3A5	midazolam		
N des-alkylflurazepam	Glucoronidation	Biochemical Reaction			hepatocyte					
N-desmethylflunitrazepam	Glucoronidation	Biochemical Reaction			hepatocyte					
nordazepam	oxazepam	Biochemical Reaction	CYP3A4	catalysis	hepatocyte	18855614	CYP3A4	oxazepam		
oxazepam	Glucoronidation	Biochemical Reaction	UGT1A9,UGT2B15,UGT2B7	catalysis	hepatocyte	12386133	UGT1A9,UGT2B15,UGT2B7	oxazepam		
temazepam	oxazepam	Biochemical Reaction	CYP2C19,CYP3A4	catalysis	hepatocyte	18855614	CYP3A4,CYP2C19	oxazepam,temazepam		
triazolam	hydroxytriazolam	Biochemical Reaction	CYP3A4,CYP3A5	catalysis	hepatocyte	18855614,17635335	CYP3A4,CYP3A5	triazolam		
