From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
DOX hydroxyaglycone	doxorubicinol hydroxyaglycone	Biochemical Reaction			hepatocyte	19442138,10813659				
DOX semiquinone	doxorubicin,reactive oxygen species	Biochemical Reaction			hepatocyte	19442138		doxorubicin		
doxorubicin	DOX deoxyaglycone	Biochemical Reaction	NQO1,POR,XDH	catalysis	hepatocyte	19442138,10860924,6305277	XDH,NQO1,POR	doxorubicin		
doxorubicin	DOX hydroxyaglycone	Biochemical Reaction			hepatocyte	19442138		doxorubicin		
doxorubicin	DOX semiquinone	Biochemical Reaction	NDUFS2,NDUFS3,NDUFS7,NOS1,NOS2,NOS3,NQO1,XDH	catalysis	hepatocyte	15054088,12688675,9333325,1911046,2850270	XDH,NDUFS7,NOS1,NOS3,NOS2,NQO1,NDUFS3,NDUFS2	doxorubicin		
doxorubicin	doxorubicinol	Biochemical Reaction	AKR1A1,AKR1C3,CBR1,CBR3	catalysis	hepatocyte	20007405,19442138,18635746,18616992,12963485	AKR1C3,CBR1,AKR1A1,CBR3	doxorubicin		
reactive oxygen species	reactive oxygen species	Biochemical Reaction	CAT,GPX1,SOD1	control	hepatocyte		GPX1,CAT,SOD1			
doxorubicin	doxorubicin	Transport	ABCB1,ABCC1,ABCC2,ABCG2,RALBP1	catalysis	hepatocyte	17704753,15164094,12527936,12370750,11172691,7954421,1352877,3180056,7214365	RALBP1,ABCC1,ABCB1,ABCC2,ABCG2	doxorubicin		
doxorubicin	doxorubicin	Transport	SLC22A16	catalysis	hepatocyte	17559346	SLC22A16	doxorubicin		
doxorubicin	doxorubicin	Transport			hepatocyte			doxorubicin		
