From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
5'-glucuronyl  zidovudine	3'-amino- 3'-deoxythymidine  glucuronide	Biochemical Reaction			cell	8690233,1996084				
HIV-RT	HIV-RT	Biochemical Reaction	zidovudine	control	cell	8690233,2430286		zidovudine		
zidovudine	3'-amino-3'- deoxythymidine	Biochemical Reaction	CYP2A6,CYP2C9,CYP2E1,CYP3A4,POR	catalysis	cell		CYP3A4,CYP2C9,CYP2A6,CYP2E1,POR	zidovudine		
zidovudine	5'-glucuronyl  zidovudine	Biochemical Reaction	UGT2B7	catalysis	cell		UGT2B7	zidovudine		
zidovudine	zidovudine	Biochemical Reaction	NME1,NME2	catalysis	cell		NME2,NME1	zidovudine		
zidovudine	zidovudine	Biochemical Reaction	DTYMK	catalysis	cell		DTYMK	zidovudine		
zidovudine	zidovudine	Biochemical Reaction	TK1	catalysis	cell		TK1	zidovudine		
zidovudine	zidovudine	Transport	ABCB1,ABCC4,ABCC5,ABCG2	catalysis	cell	20504255,20015290,18535159,18364470,16791115,16130519,15456083,10470083	ABCC4,ABCB1,ABCC5,ABCG2	zidovudine		
zidovudine	zidovudine	Transport	ABCC4,ABCG2	catalysis	cell	16791115,10470083	ABCC4,ABCG2	zidovudine		
zidovudine	zidovudine	Transport	SLC22A11,SLC22A6,SLC22A7,SLC22A8,SLC28A1,SLC28A3	catalysis	cell		SLC22A7,SLC22A8,SLC22A6,SLC22A11,SLC28A1,SLC28A3	zidovudine		
