From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
HIV-RT	HIV-RT	Biochemical Reaction	lamivudine	control	cell	16870759,11008000,1318048		lamivudine		
lamivudine diphosphate choline	lamivudine	Biochemical Reaction	CHPT1	catalysis	cell	16870759,13673002	CHPT1	lamivudine		
Lamivudine diphosphate ethanolamine	lamivudine	Biochemical Reaction			cell	16870759,13673002		lamivudine		
lamivudine	lamivudine	Biochemical Reaction	CMPK1	catalysis	cell		CMPK1	lamivudine		
lamivudine	lamivudine	Biochemical Reaction	NT5C	catalysis	cell		NT5C	lamivudine		
lamivudine	lamivudine	Biochemical Reaction	DCK	catalysis	cell		DCK	lamivudine		
lamivudine	lamivudine	Biochemical Reaction	NME1,NME2,PGK1	catalysis	cell		NME2,NME1,PGK1	lamivudine		
lamivudine	lamivudine diphosphate choline	Biochemical Reaction	PCYT1A	catalysis	cell	16870759,13673002	PCYT1A	lamivudine		
lamivudine	Lamivudine diphosphate ethanolamine	Biochemical Reaction	PCYT2	catalysis	cell	16870759,13673002	PCYT2	lamivudine		
lamivudine	lamivudine sulfoxide	Biochemical Reaction	SULT	catalysis	cell			lamivudine		
lamivudine	lamivudine	Transport	ABCC4	catalysis	cell		ABCC4	lamivudine		
lamivudine	lamivudine	Transport	ABCB1,ABCC1,ABCC2,ABCC3,ABCC4,ABCG2	catalysis	cell		ABCC3,ABCC4,ABCC1,ABCB1,ABCC2,ABCG2	lamivudine		
lamivudine	lamivudine	Transport	SLC22A1,SLC22A2,SLC22A3	catalysis	cell		SLC22A3,SLC22A2,SLC22A1	lamivudine		
