From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
ACACA,ACACB	ACACA,ACACB	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	hepatocyte	21163246	PRKAG3,PRKAG1,PRKAG2,PRKAB2,PRKAB1,ACACA,PRKAA1,PRKAA2,ACACB			
AMP/ATP up	AMP/ATP up	Biochemical Reaction	Complex: Complex I(NDUFA1, NDUFA11, NDUFA2, NDUFAB1, NDUFB4, NDUFS1, NDUFS2, NDUFS4, NDUFS6, NDUFV1),metformin	control	hepatocyte		NDUFS6,NDUFB4,NDUFA2,NDUFS4,NDUFV1,NDUFAB1,NDUFS2,NDUFA1,NDUFS1,NDUFA11	metformin		
PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	Biochemical Reaction	metformin	control	skeletal muscle cell	17476361	PRKAG3,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2	metformin		
PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	Biochemical Reaction	AMP/ATP up,ATM,STK11	control	hepatocyte	21163246,21470407,21349801,21186350,20615625,17476361	PRKAG3,STK11,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2,ATM			
Complex: Complex I(NDUFA1, NDUFA11, NDUFA2, NDUFAB1, NDUFB4, NDUFS1, NDUFS2, NDUFS4, NDUFS6, NDUFV1)	Complex: Complex I(NDUFA1, NDUFA11, NDUFA2, NDUFAB1, NDUFB4, NDUFS1, NDUFS2, NDUFS4, NDUFS6, NDUFV1)	Biochemical Reaction	metformin	control	hepatocyte		NDUFS6,NDUFB4,NDUFA2,NDUFS4,NDUFV1,NDUFAB1,NDUFS2,NDUFA1,NDUFS1,NDUFA11	metformin		
CRTC2	CRTC2	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,SIRT1	control	hepatocyte	21163246,17476361	PRKAG3,CRTC2,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2,SIRT1			
CYP3A4	CYP3A4	Biochemical Reaction	NR1I2	control	hepatocyte	21920351	CYP3A4,NR1I2			
GPAM	GPAM	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	hepatocyte	21163246,21349801	PRKAG3,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2,GPAM			
HMGCR	HMGCR	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	hepatocyte	21163246	PRKAG3,HMGCR,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2			
MLXIPL	MLXIPL	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	hepatocyte	21163246	PRKAG3,PRKAG1,PRKAG2,PRKAB2,PRKAB1,MLXIPL,PRKAA1,PRKAA2			
MLYCD	MLYCD	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	hepatocyte	21163246	PRKAG3,MLYCD,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2			
NR1I2	NR1I2	Biochemical Reaction	metformin	control	hepatocyte	21920351	NR1I2	metformin		
PPARGC1A	PPARGC1A	Biochemical Reaction	SIRT1	control	hepatocyte	21163246,17476361	SIRT1,PPARGC1A			
SIRT1	SIRT1	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	hepatocyte	21163246	PRKAG3,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2,SIRT1			
SLC2A4	SLC2A4	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3	control	skeletal muscle cell	17476361	PRKAG3,SLC2A4,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2			
SREBF1	SREBF1	Biochemical Reaction	PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,SIRT1	control	hepatocyte	21163246,17476361,11602624	PRKAG3,SREBF1,PRKAG1,PRKAG2,PRKAB2,PRKAB1,PRKAA1,PRKAA2,SIRT1			
metformin	metformin	Transport			skeletal muscle cell			metformin		
metformin	metformin	Transport			hepatocyte	21920351,21163246,17476361		metformin		
