From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
ABAT	ABAT	Biochemical Reaction	valproic acid	control	cell	12847559	ABAT	valproic acid		
ALDH5A1	ALDH5A1	Biochemical Reaction	valproic acid	control	cell	12847559	ALDH5A1	valproic acid		
alpha-ketoglutarate	glutamate	Biochemical Reaction	GOT1,GOT1L1,GOT2,GOT2P1,GOT2P2,GOT2L3	catalysis	cell		GOT2P2,GOT2,GOT1,GOT1L1,GOT2L3,GOT2P1			
alpha-ketoglutarate	succinyl CoA	Biochemical Reaction	OGDH	catalysis	cell		OGDH			
CACNA1C,CACNA1D,CACNA1F	CACNA1C,CACNA1D,CACNA1F	Biochemical Reaction	valproic acid	control	cell,neuron	12847559,8387930	CACNA1F,CACNA1C,CACNA1D	valproic acid		
GABA receptors	GABA receptors	Biochemical Reaction	GABA	control	cell,neuron					
GABA	succinate semialdehyde	Biochemical Reaction	ABAT	catalysis	cell		ABAT			
glutamate	GABA	Biochemical Reaction			cell					
HDAC1	HDAC1	Biochemical Reaction	valproic acid	control	cell	11742974,11473107	HDAC1	valproic acid		
HDAC11	HDAC11	Biochemical Reaction	valproic acid	control	cell	16121216,11742974	HDAC11	valproic acid		
HDAC9	HDAC9	Biochemical Reaction	valproic acid	control	cell	16121216,11742974	HDAC9	valproic acid		
OGDH	OGDH	Biochemical Reaction	valproic acid	control	cell	12847559	OGDH	valproic acid		
SCN	SCN	Biochemical Reaction	valproic acid	control	cell,neuron	12847559,8387930		valproic acid		
succinate semialdehyde	succinate	Biochemical Reaction	ALDH5A1	catalysis	cell		ALDH5A1			
succinyl CoA	succinate	Biochemical Reaction	SUCLA2,SUCLA2P,SUCLG1,SUCLG2	catalysis	cell		SUCLG2,SUCLG1,SUCLA2P,SUCLA2			
calcium	calcium	Transport	CACNA1C,CACNA1D,CACNA1F	catalysis	neuron		CACNA1F,CACNA1C,CACNA1D			
chloride	chloride	Transport	GABA receptors	catalysis	neuron					
sodium	sodium	Transport	SCN	catalysis	neuron					
