From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
2,4-diene valproic acid-CoA	thiol conjugates of valproic acid	Biochemical Reaction			hepatocyte	10859157,7905390,1676665				
2-ene valproic acid-CoA	2,4-diene valproic acid-CoA	Biochemical Reaction			hepatocyte	21544075,10859157				
2-ene valproic acid-CoA	3-ene valproic acid-CoA	Biochemical Reaction			hepatocyte	21544075,2112956				
2-ene valproic acid-CoA	3-OH valproic acid-CoA	Biochemical Reaction	ECH1	catalysis	hepatocyte	21843514	ECH1			
3-ene valproic acid-CoA	2,3-diene valproic acid-CoA	Biochemical Reaction			hepatocyte	21544075				
3-OH valproic acid-CoA	3-oxo-valproic acid-CoA	Biochemical Reaction	HSD17B1	catalysis	hepatocyte	21843514,11879205,1988037	HSD17B1			
3-OH valproic acid-CoA	C3-CoA	Biochemical Reaction			hepatocyte	11879205				
3-OH valproic acid-CoA	C5-CoA	Biochemical Reaction			hepatocyte	11879205				
3-oxo-valproic acid-CoA	thiol conjugates of valproic acid	Biochemical Reaction			hepatocyte	7905390				
4-ene valproic acid	4-ene valproic acid-CoA	Biochemical Reaction	ACADSB	catalysis	hepatocyte	11502730,7548749	ACADSB			
4-ene valproic acid-CoA	2,4-diene valproic acid-CoA	Biochemical Reaction			hepatocyte	11502730,10859157				
4-ene valproic acid-CoA	thiol conjugates of valproic acid	Biochemical Reaction			hepatocyte	7905390,1676665				
glutathione	thiol conjugates of valproic acid	Biochemical Reaction			hepatocyte					
valproic acid	2-ene valproic acid	Biochemical Reaction			hepatocyte	20602621		valproic acid		
valproic acid	3-hydroxy valproic acid	Biochemical Reaction	CYP2A6	catalysis	hepatocyte	16945988	CYP2A6	valproic acid		
valproic acid	4-ene valproic acid	Biochemical Reaction	CYP2A6,CYP2B6,CYP2C9	catalysis	hepatocyte	16945988,9353388	CYP2C9,CYP2B6,CYP2A6	valproic acid		
valproic acid	4-hydroxy valproic acid	Biochemical Reaction	CYP2A6,CYP2B6,CYP2C9	catalysis	hepatocyte	16945988,14597963	CYP2C9,CYP2B6,CYP2A6	valproic acid		
valproic acid	5-hydroxy valproic acid	Biochemical Reaction	CYP2A6,CYP2B6,CYP2C9	catalysis	hepatocyte	16945988,14597963	CYP2C9,CYP2B6,CYP2A6	valproic acid		
valproic acid	valproate glucuronide	Biochemical Reaction	UGT1A10,UGT1A3,UGT1A4,UGT1A6,UGT1A8,UGT1A9,UGT2B15,UGT2B7	catalysis	hepatocyte	18838507,17687269,15761113,12732356	UGT1A6,UGT1A10,UGT1A9,UGT1A8,UGT1A3,UGT1A4,UGT2B15,UGT2B7	valproic acid		
valproic acid	valproic acid-CoA	Biochemical Reaction	ACSM1,ACSM2A,ACSM2B,ACSM3,ACSM4,ACSM5	catalysis	hepatocyte	21843514	ACSM3,ACSM2B,ACSM1,ACSM2A,ACSM5,ACSM4	valproic acid		
valproic acid-CoA	2-ene valproic acid-CoA	Biochemical Reaction	ACADSB,IVD	catalysis	hepatocyte	21430231,2112956	ACADSB,IVD			
valproic acid-CoA	valproic acid-dephosphoCoA	Biochemical Reaction			hepatocyte	15483197				
