From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
6-phosphogluconate	Ribulose-5-phosphate	Biochemical Reaction	PGD	catalysis	erythrocyte	18226191	PGD			
6-phosphogluconolactone	6-phosphogluconate	Biochemical Reaction	PGLS	catalysis	erythrocyte		PGLS			
Fructose-6-phosphate	Glucose-6-phosphate	Biochemical Reaction			erythrocyte	21376665,18226191				
Glucose	Glucose-6-phosphate	Biochemical Reaction	HK1	catalysis	erythrocyte	21376665,18177777,16204390,13799836	HK1			
Glucose-6-phosphate	6-phosphogluconolactone	Biochemical Reaction	G6PD	catalysis	erythrocyte	21376665,20350285,18177777,18226191,16204390	G6PD			
Glucose-6-phosphate	Fructose-6-phosphate	Biochemical Reaction	GPI	catalysis	erythrocyte	21376665,18226191	GPI			
NADP	NADPH	Biochemical Reaction	PGD	catalysis	erythrocyte	18177777,18226191	PGD			
NADP	NADPH	Biochemical Reaction	G6PD	catalysis	erythrocyte	21376665,20350285,18177777,18226191,16204390	G6PD			
Ribulose-5-phosphate	Ribose-5-phosphate	Biochemical Reaction			erythrocyte					
Glucose	transporters	Transport			erythrocyte	15862084				
transporters	Glucose	Transport			erythrocyte					
