From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
(-)-carbovir 5'-diphosphate	(-)-carbovir 5'-triphosphate	Biochemical Reaction	CKB,CKM,NME1,NME2,PCK1,PGK1,PKLR,PKM	catalysis	cell	9145876,1383219	PKM,NME2,CKM,NME1,PKLR,PGK1,PCK1,CKB			
(-)-carbovir 5'-monophosphate	(-)-carbovir 5'-diphosphate	Biochemical Reaction	GUK1	catalysis	cell	10066527,9145876,1383219	GUK1			
	Complex: Abacavir-HLA-B	Biochemical Reaction		control	cell					
abacavir 5'-monophosphate	(-)-carbovir 5'-monophosphate	Biochemical Reaction	Cytosolic deaminase	catalysis	cell	9145874,9145876				
abacavir	2269W93	Biochemical Reaction	ADH1A,ADH1B,ADH1C	catalysis	hepatocyte	10582871	ADH1C,ADH1B,ADH1A	abacavir		
abacavir	361W94	Biochemical Reaction	UGT	catalysis	hepatocyte	10582871		abacavir		
abacavir	abacavir 5'-monophosphate	Biochemical Reaction	ADK	catalysis	cell	9145874,9145876	ADK	abacavir		
abacavir	Complex: Abacavir-HLA-B	Biochemical Reaction			cell			abacavir		
abacavir	Minor metabolites	Biochemical Reaction	UGT	catalysis	hepatocyte	10582871		abacavir		
abacavir	Minor metabolites	Biochemical Reaction	ADH1A,ADH1B,ADH1C	catalysis	hepatocyte	10582871	ADH1C,ADH1B,ADH1A	abacavir		
HIV-RT	HIV-RT	Biochemical Reaction	(-)-carbovir 5'-triphosphate	control	cell	9145874				
"Self" peptide	Complex: Abacavir-HLA-B	Complex Assembly			cell	14511229				
abacavir	HLA-B	Complex Assembly			cell	22722860,22645359	HLA-B	abacavir		
abacavir	abacavir	Transport			cell	22645359		abacavir		
abacavir	abacavir	Transport			hepatocyte	18479171,9145874		abacavir		
abacavir	abacavir	Transport			cell,hepatocyte			abacavir		
Complex: Abacavir-HLA-B	Complex: Abacavir-HLA-B-self peptide	Transport			cell	14511229				
