From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9	ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9	Biochemical Reaction	GNAS,GNAI1,GNAI2,GNAI3	control	cell		ADCY3,ADCY4,ADCY1,GNAI3,ADCY2,ADCY7,GNAI2,ADCY8,GNAI1,ADCY5,ADCY6,ADCY9,GNAS			
ADRB2	ADRB2	Biochemical Reaction	atenolol,carvedilol,epinephrine,fenoterol,formoterol,ADRBK1,ADRBK2,metoprolol,orciprenaline,pindolol,PRKCA,PRKCB,PRKCD,PRKCDBP,PRKCE,PRKCG,PRKCH,PRKCQ,PRKCZ,propranolol,salbutamol,salmeterol,ARRB1,ARRB2	control	cell	14499340,12959637,12540746,12523655,10950895,10903223,10406816	PRKCA,PRKCZ,PRKCQ,ADRB2,ARRB2,ARRB1,PRKCH,ADRBK2,PRKCG,PRKCDBP,ADRBK1,PRKCE,PRKCD,PRKCB	epinephrine,propranolol,fenoterol,pindolol,orciprenaline,atenolol,metoprolol,carvedilol,salmeterol,formoterol,salbutamol		
ATP	cAMP	Biochemical Reaction	ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9	catalysis	cell		ADCY3,ADCY4,ADCY1,ADCY2,ADCY9,ADCY7,ADCY8,ADCY5,ADCY6			
CACNA1B,CACNA1C,CACNA1D,CACNA1S	CACNA1B,CACNA1C,CACNA1D,CACNA1S	Biochemical Reaction	PRKACA,PRKACB,PRKACG	control	cell		PRKACG,PRKACA,PRKACB,CACNA1C,CACNA1S,CACNA1D,CACNA1B			
cAMP	5AMP	Biochemical Reaction	PDE4A,PDE4B,PDE4C,PDE4D	catalysis	cell	12399592	PDE4A,PDE4B,PDE4D,PDE4C			
DOPA	epinephrine	Biochemical Reaction						epinephrine		
ELF2	ELF2	Biochemical Reaction	ADRB2	control	cell	9560162	ADRB2,ELF2			
MAPK1	MAPK1	Biochemical Reaction	PRKACA,PRKACB,PRKACG,SRC	control	cell	12003786	PRKACG,MAPK1,PRKACA,PRKACB,SRC			
GNAS	GNAS	Biochemical Reaction			cell		GNAS			
GNAS	GNAS	Biochemical Reaction	RGS1	catalysis	cell		RGS1,GNAS			
GNAS	GNAS	Biochemical Reaction	ADRB2	control	cell	11516429,10406816,7901205	ADRB2,GNAS			
ADRBK1,ADRBK2	ADRBK1,ADRBK2	Biochemical Reaction	MAPK1	control	cell		MAPK1,ADRBK2,ADRBK1			
GNAI1,GNAI2,GNAI3	GNAI1,GNAI2,GNAI3	Biochemical Reaction			cell		GNAI3,GNAI2,GNAI1			
GNAI1,GNAI2,GNAI3	GNAI1,GNAI2,GNAI3	Biochemical Reaction	RGS1	catalysis	cell		RGS1,GNAI3,GNAI2,GNAI1			
GNAI1,GNAI2,GNAI3	GNAI1,GNAI2,GNAI3	Biochemical Reaction	ADRB2	control	cell	10711498	ADRB2,GNAI3,GNAI2,GNAI1			
SLC9A1,SLC9A2,SLC9A3,SLC9A3P1,SLC9A3R1,SLC9A3R2,SLC9A4,SLC9A5,SLC9A6	SLC9A1,SLC9A2,SLC9A3,SLC9A3P1,SLC9A3R1,SLC9A3R2,SLC9A4,SLC9A5,SLC9A6	Biochemical Reaction	ELF2	control	cell	9560162	ELF2,SLC9A6,SLC9A3P1,SLC9A5,SLC9A4,SLC9A3,SLC9A2,SLC9A3R1,SLC9A3R2,SLC9A1			
ITPR1	ITPR1	Biochemical Reaction	IP3	control	cell		ITPR1			
PDE4A,PDE4B,PDE4C,PDE4D	PDE4A,PDE4B,PDE4C,PDE4D	Biochemical Reaction	ARRB1,ARRB2	control	cell		ARRB2,ARRB1,PDE4A,PDE4B,PDE4D,PDE4C			
PIP2	DAG,IP3	Biochemical Reaction	PLCB1,PLCB2,PLCB3,PLCB4	catalysis	cell		PLCB3,PLCB4,PLCB1,PLCB2			
PRKACA,PRKACB,PRKACG	PRKACA,PRKACB,PRKACG	Biochemical Reaction	cAMP	control	cell		PRKACG,PRKACA,PRKACB			
PRKCA,PRKCB,PRKCD,PRKCDBP,PRKCE,PRKCG,PRKCH,PRKCQ,PRKCZ	PRKCA,PRKCB,PRKCD,PRKCDBP,PRKCE,PRKCG,PRKCH,PRKCQ,PRKCZ	Biochemical Reaction	DAG	control	cell		PRKCA,PRKCZ,PRKCQ,PRKCH,PRKCG,PRKCDBP,PRKCE,PRKCD,PRKCB			
PLCB1,PLCB2,PLCB3,PLCB4	PLCB1,PLCB2,PLCB3,PLCB4	Biochemical Reaction	ADRB2,GNB1,GNB1L,GNB2,GNB3,GNB4,GNG2,GNG3,GNG4,GNG5,GNG7,GNB1,GNB1L,GNB2,GNB3,GNB4,GNG2,GNG3,GNG4,GNG5,GNG7	control	cell	12925702,9174358	GNB1L,PLCB3,ADRB2,PLCB4,GNB2,GNB1,GNB4,GNG2,GNB3,GNG3,GNG4,PLCB1,GNG5,PLCB2,GNG7			
SRC	SRC	Biochemical Reaction	ARRB1,ARRB2	control	cell		ARRB2,ARRB1,SRC			
Tyrosine	DOPA	Biochemical Reaction								
ARRB1,ARRB2	ARRB1,ARRB2	Biochemical Reaction	MAPK1,PRKACA,PRKACB,PRKACG	control	cell	12959637	PRKACG,MAPK1,ARRB2,ARRB1,PRKACA,PRKACB			
