From	To	Reaction Type	Controller	Control Type	Cell Type	PubMed Id	Genes	Drugs	Diseases	
acetylcholine	acetate,choline	Biochemical Reaction	ACHE	catalysis		15739192,15322258	ACHE			
CACNA1A,CACNA1B,CACNA1E	CACNA1A,CACNA1B,CACNA1E	Biochemical Reaction		control	cholinergic neuron		CACNA1E,CACNA1A,CACNA1B			
CACNA1A,CACNA1B,CACNA1C,CACNA1D	CACNA1A,CACNA1B,CACNA1C,CACNA1D	Biochemical Reaction		control	norepinephrin secreting cell		CACNA1C,CACNA1D,CACNA1A,CACNA1B			
acetyl-Co-A,choline	acetylcholine	Biochemical Reaction	CHAT	catalysis	cholinergic neuron	12929139	CHAT			
CHRNA7	CHRNA7	Biochemical Reaction	acetylcholine	control	norepinephrin secreting cell	15231719,12036180,11849819	CHRNA7			
Complex: CHRNB3/4	Complex: CHRNB3/4	Biochemical Reaction	acetylcholine,trimethaphan	control	norepinephrin secreting cell	12036180,11849819		trimethaphan		
DDC	DDC	Biochemical Reaction	carbidopa	control	norepinephrin secreting cell		DDC	carbidopa		
DOPA	dopamine	Biochemical Reaction	DDC	catalysis	norepinephrin secreting cell	10691773,8670114	DDC			
TH	TH	Biochemical Reaction	calcium,metyrosine	control	norepinephrin secreting cell		TH	metyrosine		
tyrosine	DOPA	Biochemical Reaction	TH	catalysis	norepinephrin secreting cell	10691773,14216443	TH			
		Biochemical Reaction	calcium	control	cholinergic neuron					
calcium	calcium	Transport	CHRNA7,Complex: CHRNB3/4	catalysis	norepinephrin secreting cell		CHRNA7			
calcium	calcium	Transport	CACNA1A,CACNA1B,CACNA1C,CACNA1D	catalysis	norepinephrin secreting cell	15635597,11306608	CACNA1C,CACNA1D,CACNA1A,CACNA1B			
calcium	calcium	Transport	CACNA1A,CACNA1B,CACNA1E	catalysis	cholinergic neuron	15820397,14624853,9831716	CACNA1E,CACNA1A,CACNA1B			
choline	choline	Transport	SLC5A7	catalysis	cholinergic neuron		SLC5A7			
sodium	sodium	Transport	CHRNA7,Complex: CHRNB3/4	catalysis	norepinephrin secreting cell		CHRNA7			
acetylcholine	acetylcholine	Transport	SLC18A3	catalysis	cholinergic neuron	15485505	SLC18A3			
